,Tair,Trad,Trad_V_0,LAI,fv,F,h_V,w_V,ea,P_atm,u,c_p,sza_degrees,sza_rad,vza_degrees,vza_rad,x_LAD,Sdn,z_T,z_u,KB_1_DEFAULT,alpha_PT,L,emis_leaf,emis_soil,rho_vis_leaf,tau_vis_leaf,rho_nir_leaf,tau_nir_leaf,rho_vis_soil,rho_nir_soil,z0_soil,leaf_width
0,290.6615735461197,291.1632596813393,290.6615735461197,5.002275994941949,0.6030092187083779,8.295522,0.8368276371612422,0.6962594095037471,48.448604274020724,1005.9125466855436,2.310487983971976,1029.787319673694,53.15349800955073,0.9277035492189126,82.99135802128005,1.4484724481727431,1.0,494.7225434234247,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
1,285.4963776915053,287.7066684618642,285.4963776915053,0.47302884647765886,0.7761263095706363,0.60947406,1.4845095006252635,0.4397640422000211,2.4775046685274837,1007.659882521228,10.372718217231913,1004.8187120990011,40.24089816050601,0.7023361668605596,53.84631920212491,0.9397955601569258,0.2,575.7021659032204,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
2,290.2186767068969,302.18267551354904,290.2186767068969,6.052438835473257,0.16127171687896347,37.52945,0.48649438408516876,0.938270164461544,14.772608685310917,992.7203474911844,4.097944984130653,1011.5191019928635,8.33957204886585,0.14555299045999853,60.35019210071485,1.0533095563685475,0.5,832.3882852387163,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
3,312.3494277216163,317.660815127801,312.3494277216163,7.7476676706785925,0.1564011926915717,49.53714,1.9916725863094549,0.9285143704989491,41.793066426325524,990.2067286433524,13.462182539046823,1026.483101740241,89.79780737555716,1.5672673997751205,36.35877577259701,0.634580349226163,1.0,435.73491749138094,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
4,292.0982547820105,302.4102906719476,292.0982547820105,6.062829101411368,0.574940067356196,10.54515,0.10037776418514088,0.993312574573389,25.764325680161207,993.2665375901101,9.233403234095732,1017.5371158807285,61.57638693305009,1.0747106934637372,24.84995014972614,0.433713449069179,1.2,419.04453696726705,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
5,299.4346668634043,304.4017188289766,299.4346668634043,5.43407524552175,0.7121584401714995,7.63043,0.2541852730600671,0.6582512465019512,69.06074274203796,1003.9210768395462,13.20730857898557,1041.345976939703,43.03596546276042,0.7511192940997345,41.257431870559735,0.7200780270585103,0.4,349.33619554789794,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
6,309.9041216518498,317.4175259128714,309.9041216518498,6.115141508222166,0.642812045821516,9.51311,0.08717293650032776,0.02374657383445755,20.016179648390697,999.5853939519809,11.317363856002139,1014.3120176195243,70.39959541569651,1.2287047320758102,78.42077918606897,1.3687007987763424,0.3,392.85377714844526,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
7,302.47790862320426,307.19070776066616,302.47790862320426,1.668303698228093,0.6445104408419494,2.5884821,1.379299058834421,0.07047070315137605,27.486362455569456,993.234199013625,13.734306560700585,1018.4857398283666,60.15687888980536,1.0499356043505748,82.96085235291658,1.447940023819279,0.7,241.51808214340974,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
8,290.0237624141492,296.17091499977084,290.0237624141492,2.00429640291824,0.6185707703150238,3.2402055,0.9361686037146484,0.1394363350308403,37.251195510610856,1005.1624575643239,3.3546392070179087,1023.6407903930444,39.102214210801435,0.6824623827986012,7.470673717340572,0.1303878537097972,1.2,427.5790021181153,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
9,311.2133107062747,322.410777919092,311.2133107062747,3.942712545005519,0.5434442554272767,7.255045,1.262562436290958,0.767542663381934,36.42497652746185,1008.275606228374,13.440313601639204,1023.126240571566,12.920400892738664,0.2255035362559044,44.741969381985335,0.7808946795421366,1.6,214.7780087738147,2,2,0.0,1.7,inf,0.97,0.95,0.07,0.08,0.32,0.33,0.15,0.25,0.01,0.1
