lai,fv_var,h_V,row_sep,doy,hour,row_radians,abs_vis_leaf,abs_nir_leaf,rho_vis_soil,rho_nir_soil,Rc_binomial,Rs_binomial,St
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,175.73758420555566,279.2509064391038,537.8506286463802
1.9765625,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,343.6019579175353,189.27516787447885,537.8506286463802
0.5234375,0.8224609374999999,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,178.30207233866997,278.9252739604158,537.8506286463802
0.5234375,0.7498046875,1.439453125,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,185.9308692579233,274.0338691401414,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.02734375,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,179.5585723474793,277.17561452147254,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.19140625,252.34375,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,184.24536374136017,381.8832841021135,656.792203160257
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,13.83203125,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,190.8915792994336,318.25181626189806,605.5800351516633
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,1.1167380135807468,0.8123046875000001,0.3573828125,0.2541015625,0.3845703125,124.27305604640296,304.83909898293575,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8041015625000001,0.3573828125,0.2541015625,0.3845703125,175.52403750407137,279.4580085523435,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3891015625,0.2541015625,0.3845703125,179.26223079452026,277.3783289058805,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2638671875,0.3845703125,175.97073797506823,277.61131429397847,537.8506286463802
0.5234375,0.7498046875,1.146484375,3.19140625,280.46875,14.37890625,2.7120780329818137,0.8123046875000001,0.3573828125,0.2541015625,0.2146484375,172.191993117832,321.77594826809764,537.8506286463802
1.9765625,0.8224609374999999,1.439453125,3.02734375,252.34375,13.83203125,1.1167380135807468,0.8041015625000001,0.3891015625,0.2638671875,0.2146484375,429.23497620466986,311.6149077625859,724.0258259267862
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,433.9792703296001,531.3434496570708,950.2456117919138
0.9765625,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,336.12248150993184,587.200209272525,950.2456117919138
1.5234375,0.7474609375,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,433.752689242564,528.5946408407495,950.2456117919138
1.5234375,0.8248046875,1.189453125,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,436.56272209265313,531.1257088573541,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.52734375,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,442.69346880452974,525.0503267317695,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.69140625,152.34375,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,449.9766708855078,519.0438258538786,949.6935115091946
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.33203125,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,162.38315325829137,708.1954863474522,938.0290555812198
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,2.6875343403756435,0.8373046875,0.39238281249999996,0.1291015625,0.2595703125,435.2914872889786,499.1792746456952,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8291015625,0.39238281249999996,0.1291015625,0.2595703125,433.6745804626861,531.815965136147,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.35410156249999997,0.1291015625,0.2595703125,424.2216186587934,537.1807548109418,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1388671875,0.2595703125,435.8900806222647,528.6571522877367,950.2456117919138
1.5234375,0.8248046875,1.396484375,3.69140625,180.46875,11.87890625,1.141281706186917,0.8373046875,0.39238281249999996,0.1291015625,0.3396484375,448.39069495813,499.7872442741789,950.2456117919138
0.9765625,0.7474609375,1.189453125,3.52734375,152.34375,11.33203125,2.6875343403756435,0.8291015625,0.35410156249999997,0.1388671875,0.3396484375,271.16203709637307,552.6873143978809,937.298227455071
2.0234375,0.7123046875,1.021484375,3.44140625,130.46875,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,492.8428569004741,424.7930255705059,895.6459344391038
1.4765625,0.7123046875,1.021484375,3.44140625,130.46875,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,410.59470683235423,478.1877416602597,895.6459344391038
2.0234375,0.7849609375,1.021484375,3.44140625,130.46875,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,511.3609854042079,415.95343179883355,895.6459344391038
2.0234375,0.7123046875,1.314453125,3.44140625,130.46875,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,497.03724645419567,419.934857590589,895.6459344391038
2.0234375,0.7123046875,1.021484375,3.77734375,130.46875,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,492.06173722851025,427.4489630585375,895.6459344391038
2.0234375,0.7123046875,1.021484375,3.44140625,202.34375,13.12890625,1.9266798695843652,0.8498046874999999,0.40988281249999997,0.0666015625,0.3220703125,504.2489202721533,409.1108538071615,899.090901342677
